gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,csho,costat,prcc_c
013700,20061231,2006,INDL,C,D,STD,XRAY,USD,151.8000,A,29.8500
013971,20061231,2006,INDL,C,D,STD,MEOH,USD,105.8010,A,27.3700
014282,20061231,2006,INDL,C,D,STD,APH,USD,89.1330,A,62.0800
014538,20061231,2006,INDL,C,D,STD,TEVA,USD,758.0000,A,31.0800
014563,20061231,2006,INDL,C,D,STD,MERC,USD,35.4650,A,11.8700
014620,20061231,2006,INDL,C,D,STD,ELUXY,USD,139.4670,A,40.0410
015247,20061231,2006,INDL,C,D,STD,VLO,USD,603.7630,A,51.1600
015252,20061231,2006,INDL,C,D,STD,TRS,USD,20.7600,A,
015267,20061231,2006,INDL,C,D,STD,IEX,USD,53.6970,A,47.4100
015444,20061231,2006,INDL,C,D,STD,CRH,USD,542.1620,A,42.5000
016401,20060331,2005,INDL,C,D,STD,CRUS,USD,86.8160,A,6.6800
016477,20061231,2006,INDL,C,D,STD,LEA,USD,76.2520,A,29.5300
018636,20060630,2006,INDL,C,D,STD,DEO,USD,689.2500,A,79.3100
020185,20060930,2006,INDL,C,D,STD,SMG,USD,65.1000,A,51.6500
020779,20060731,2006,INDL,C,D,STD,CSCO,USD,6059.0000,A,27.3300
023084,20061231,2006,INDL,C,D,STD,BHE,USD,64.7510,A,24.3600
023671,20061231,2006,INDL,C,D,STD,NOK,USD,3965.7300,A,20.3200
023978,20061231,2006,INDL,C,D,STD,X,USD,118.5450,A,73.1400
024468,20061231,2006,INDL,C,D,STD,BIIB,USD,338.1740,A,49.1900
024925,20061231,2006,INDL,C,D,STD,ROP,USD,87.7790,A,50.2400
025119,20061231,2006,INDL,C,D,STD,MHK,USD,67.7650,A,74.8600
025279,20061231,2006,INDL,C,D,STD,BSX,USD,1474.6740,A,17.1800
028004,20061231,2006,INDL,C,D,STD,8135A,USD,0.0050,A,
028139,20060930,2006,INDL,C,D,STD,SANM,USD,532.9050,A,3.4500
028169,20061231,2006,INDL,C,D,STD,AGU,USD,133.0000,A,31.4900
028195,20060831,2006,INDL,C,D,STD,JBL,USD,202.9320,A,24.5500
028272,20061231,2006,INDL,C,D,STD,AZN,USD,1532.2460,A,53.5500
028295,20061231,2006,INDL,C,D,STD,TWI,USD,19.8990,A,20.1500
028380,20061231,2006,INDL,C,D,STD,OFIX,USD,16.4460,A,50.0000
028742,20061231,2006,INDL,C,D,STD,BWA,USD,57.6930,A,59.0200
028844,20061231,2006,INDL,C,D,STD,KOF,USD,184.6530,A,38.0000
028940,20061231,2006,INDL,C,D,STD,BDC,USD,44.1510,A,39.0900
029131,20061231,2006,INDL,C,D,STD,ROCK,USD,29.8840,A,23.5100
029133,20061231,2006,INDL,C,D,STD,ITRI,USD,25.6750,A,51.8400
029392,20061231,2006,INDL,C,D,STD,EMN,USD,83.5310,A,59.3100
029751,20061231,2006,INDL,C,D,STD,ALB,USD,47.4300,A,71.8000
030098,20061231,2006,INDL,C,D,STD,IR,USD,52.6260,A,37.3100
030170,20060331,2005,INDL,C,D,STD,FLEX,USD,578.1420,A,10.4400
030923,20061231,2006,INDL,C,D,STD,FTI,USD,104.7810,A,68.6100
031142,20061231,2006,INDL,C,D,STD,STM,USD,897.3950,A,18.4000
060979,20061231,2006,INDL,C,D,STD,WAB,USD,48.2510,A,30.3800
061567,20060630,2006,INDL,C,D,STD,EL,USD,211.7610,A,40.8200
062516,20061231,2006,INDL,C,D,STD,CENX,USD,32.4580,A,44.6500
062897,20061231,2006,INDL,C,D,STD,TUP,USD,60.5610,A,22.6100
063447,20061231,2006,INDL,C,D,STD,GES,USD,46.0440,A,63.4300
063892,20061231,2006,INDL,C,D,STD,NOV,USD,175.5720,A,61.1800
064030,20061231,2006,INDL,C,D,STD,STLD,USD,96.9830,A,32.4500
064356,20061031,2006,INDL,C,D,STD,CIEN,USD,84.8920,A,27.7100
064389,20061231,2006,INDL,C,D,STD,SLGN,USD,37.5880,A,43.9200
064690,20061231,2006,INDL,C,D,STD,ALV,USD,80.1000,A,60.3000
064891,20060331,2005,INDL,C,D,STD,RL,USD,105.4000,A,56.1400
065107,20061231,2006,INDL,C,D,STD,SSCC,USD,3.7920,A,0.1000
065248,20061231,2006,INDL,C,D,STD,MT,USD,1385.2690,A,42.1800
065590,20061231,2006,INDL,C,D,STD,SRI,USD,23.8040,A,8.1900
065772,20061231,2006,INDL,C,D,STD,MTD,USD,38.4300,A,78.8500
066290,20060228,2005,INDL,C,D,STD,SCS,USD,149.4900,A,15.8300
101204,20061231,2006,INDL,C,D,STD,SNY,USD,2700.9880,A,46.1700
101310,20061231,2006,INDL,C,D,STD,NVS,USD,2348.2310,A,57.4400
110039,20061231,2006,INDL,C,D,STD,AMKR,USD,178.1090,A,9.3400
112158,20061231,2006,INDL,C,D,STD,CLS,USD,227.8530,A,7.8100
117768,20060131,2005,INDL,C,D,STD,NVDA,USD,171.4770,A,36.5600
117861,20061231,2006,INDL,C,D,STD,AXL,USD,50.5000,A,18.9900
121718,20061231,2006,INDL,C,D,STD,JNPR,USD,569.2340,A,18.9400
122257,20061231,2006,INDL,C,D,STD,BMRN,USD,91.7260,A,16.3900
122380,20061231,2006,INDL,C,D,STD,LII,USD,67.1560,A,30.6100
126554,20061031,2006,INDL,C,D,STD,A,USD,408.0000,A,34.8500
128978,20061231,2006,INDL,C,D,STD,PKG,USD,104.6110,A,22.1000
133367,20060930,2006,INDL,C,D,STD,EPC,USD,56.6730,A,70.9900
